video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
25u85HFJ-EJ,24.13.09,Film & Animation Compilation 2024,Channel_635,17,2024-09-09T09:00:00.000Z,vlog|official|live,3590,151,6,12,https://i.ytimg.com/vi/IQOkrtDXtBi/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
XcW9aTMX1C-,24.31.08,Top 10 Music Moments This Week,Channel_2236,10,2024-08-27T10:00:00.000Z,2024|review|music,12093,735,59,161,https://i.ytimg.com/vi/XRZv7qdYdk2/default.jpg,False,False,False,Auto-generated sample description for Music video.
PRWJ1Gk8cgS,24.21.01,Top 10 Entertainment Moments This Week,Channel_563,19,2024-01-17T10:00:00.000Z,review|vlog|music,4949,110,34,84,https://i.ytimg.com/vi/dFzctEq8oB7/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ouNndNWYzjF,24.28.05,Official Sports Highlights,Channel_2471,16,2024-05-26T16:00:00.000Z,review|vlog|trending,8967,503,30,170,https://i.ytimg.com/vi/pfS2ViRb1-n/default.jpg,False,False,False,Auto-generated sample description for Sports video.
wI973IPFlJ5,24.17.06,Top 10 Music Moments This Week,Channel_3807,2,2024-06-16T14:00:00.000Z,trending|review|2024,80322,4850,428,1460,https://i.ytimg.com/vi/Rd_Px-BTHRJ/default.jpg,False,False,False,Auto-generated sample description for Music video.
kE0-E8-5clL,24.26.09,Top 10 People & Blogs Moments This Week,Channel_3313,20,2024-09-23T15:00:00.000Z,vlog|live|official,6122,249,10,14,https://i.ytimg.com/vi/V8S2QT6INGD/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
xyB9JKmyLDU,24.13.12,Top 10 Film & Animation Moments This Week,Channel_2477,17,2024-12-10T05:00:00.000Z,music|vlog|trending,17246,566,41,270,https://i.ytimg.com/vi/qJfgLq-nbK8/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
oiZ-jgttMkF,24.27.09,Official Science & Technology Highlights,Channel_4572,18,2024-09-26T20:00:00.000Z,review|2024|trending,10127,296,18,61,https://i.ytimg.com/vi/CW54M2NhmAB/default.jpg,False,False,False,Auto-generated sample description for Science & Technology video.
058LeDKK6jD,24.13.04,Why This Music Video Went Viral,Channel_4832,2,2024-04-12T14:00:00.000Z,vlog|live|2024,116144,6863,1109,1439,https://i.ytimg.com/vi/oCtIsjhvNK4/default.jpg,False,False,False,Auto-generated sample description for Music video.
_4kf3PGdlDc,24.12.06,Reacting to Music Trends,Channel_2208,10,2024-06-09T20:00:00.000Z,trending|music|live,258509,9817,1812,246,https://i.ytimg.com/vi/84Jx3-l8S0Q/default.jpg,False,False,False,Auto-generated sample description for Music video.
