video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
lWRQH5zJTOv,24.24.09,Behind the Scenes: Sports,Channel_2738,18,2024-09-24T14:00:00.000Z,vlog|live|review,36859,2532,86,405,https://i.ytimg.com/vi/YyGmL8a00AN/default.jpg,False,False,False,Auto-generated sample description for Sports video.
cId5e5E1UuI,24.17.06,Top 10 Comedy Moments This Week,Channel_2497,11,2024-06-15T00:00:00.000Z,review|music|vlog,10765,523,26,75,https://i.ytimg.com/vi/FoZiTxFXvRc/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
EK0GpAOrY_e,24.29.07,Reacting to Sports Trends,Channel_70,18,2024-07-25T10:00:00.000Z,live|music|2024,133124,5135,413,723,https://i.ytimg.com/vi/arclPtbD_NH/default.jpg,False,False,False,Auto-generated sample description for Sports video.
nv_sVsSEL1_,24.12.04,Top 10 Entertainment Moments This Week,Channel_1938,8,2024-04-11T09:00:00.000Z,trending|official|vlog,54197,2054,225,605,https://i.ytimg.com/vi/RdOvvNl_3JI/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
byO3FiVgXs3,24.30.12,Sports Compilation 2024,Channel_3117,20,2024-12-27T12:00:00.000Z,vlog|live|trending,19273,930,164,104,https://i.ytimg.com/vi/tXpo7qri_WF/default.jpg,False,False,False,Auto-generated sample description for Sports video.
r3gyxweYz6B,24.07.06,Entertainment Compilation 2024,Channel_1150,17,2024-06-05T21:00:00.000Z,music|official|2024,316333,21520,2151,226,https://i.ytimg.com/vi/M_Twzm2jb61/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
yRSw1eOmoC9,24.02.06,Top 10 Comedy Moments This Week,Channel_543,11,2024-05-30T00:00:00.000Z,review|2024|vlog,42756,3028,156,736,https://i.ytimg.com/vi/eiO79qw8tmc/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
2jRPl5j-4pk,24.23.10,Reacting to Gaming Trends,Channel_3525,7,2024-10-22T15:00:00.000Z,official|live|review,5330,221,11,66,https://i.ytimg.com/vi/mo_Ofx6NH0t/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
AwLDJ2RjQxA,24.14.02,Music Compilation 2024,Channel_1151,15,2024-02-10T11:00:00.000Z,2024|music|live,2394978,116005,5597,40715,https://i.ytimg.com/vi/v4lG4578phE/default.jpg,False,False,False,Auto-generated sample description for Music video.
13mDg6E3H1m,24.15.10,Top 10 Entertainment Moments This Week,Channel_4603,17,2024-10-12T20:00:00.000Z,music|2024|trending,61868,3914,171,568,https://i.ytimg.com/vi/O5TGAHatk0J/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
1watm3EddZU,24.14.03,Reacting to Gaming Trends,Channel_3933,7,2024-03-14T11:00:00.000Z,2024|vlog|live,1383,27,11,15,https://i.ytimg.com/vi/uGAiM7X3_bZ/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
S3-9v_Fa0LJ,24.22.12,Behind the Scenes: Gaming,Channel_894,21,2024-12-18T22:00:00.000Z,2024|music|official,3686,274,20,19,https://i.ytimg.com/vi/XjPJhQL3mkC/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
LJgO0PU-VBw,24.23.05,Entertainment Compilation 2024,Channel_1029,17,2024-05-23T00:00:00.000Z,official|trending|2024,5468,422,12,96,https://i.ytimg.com/vi/U8tdJUusu87/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
JMu1ZJuProI,24.04.12,Why This Gaming Video Went Viral,Channel_2262,21,2024-12-04T17:00:00.000Z,music|live|trending,5340,344,48,15,https://i.ytimg.com/vi/IXtLE0mg3F7/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
CsUxWn18I-U,24.30.12,Reacting to People & Blogs Trends,Channel_3616,9,2024-12-29T02:00:00.000Z,review|vlog|live,122242,1550,366,1326,https://i.ytimg.com/vi/oqyyJF__KKe/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
idkV81EDA8w,24.03.12,Behind the Scenes: News & Politics,Channel_2999,14,2024-12-02T14:00:00.000Z,live|official|2024,18678,1154,171,180,https://i.ytimg.com/vi/1xPS6gV79De/default.jpg,False,False,False,Auto-generated sample description for News & Politics video.
