video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
oHF0wfOEjZd,24.04.04,Official Howto & Style Highlights,Channel_1045,13,2024-04-01T03:00:00.000Z,vlog|music|official,10764,449,57,120,https://i.ytimg.com/vi/Th7qnoRXqNW/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
pwCVTsn5YJN,24.06.11,Behind the Scenes: Comedy,Channel_3185,16,2024-11-05T19:00:00.000Z,music|trending|vlog,73622,4286,651,663,https://i.ytimg.com/vi/J4sc58rLgb2/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
edMWMWZhrrf,24.16.03,Top 10 Film & Animation Moments This Week,Channel_4360,12,2024-03-14T09:00:00.000Z,music|2024|trending,10075,475,91,141,https://i.ytimg.com/vi/idn6rUH6LQ2/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
sY2-uQun0aY,24.10.11,Music Compilation 2024,Channel_2765,8,2024-11-10T03:00:00.000Z,trending|official|review,1391,32,11,19,https://i.ytimg.com/vi/ebkhQMawJd2/default.jpg,False,False,False,Auto-generated sample description for Music video.
XDNDuY9mtZ8,24.15.04,Why This Entertainment Video Went Viral,Channel_1711,22,2024-04-13T07:00:00.000Z,trending|music|review,10321,576,93,176,https://i.ytimg.com/vi/MjZsonm8qmt/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
QFNCfqTsQKI,24.28.07,Top 10 Film & Animation Moments This Week,Channel_4991,17,2024-07-25T03:00:00.000Z,trending|2024|official,8393,479,21,137,https://i.ytimg.com/vi/iVQPJ2m5WDy/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
ocb7vekq0_h,24.23.01,Behind the Scenes: Music,Channel_1794,21,2024-01-21T22:00:00.000Z,official|2024|trending,19681,1374,29,190,https://i.ytimg.com/vi/jPf43KPkJro/default.jpg,False,False,False,Auto-generated sample description for Music video.
gW1XGwt5Kzs,24.01.09,Official Entertainment Highlights,Channel_4387,18,2024-08-31T06:00:00.000Z,trending|vlog|music,33488,920,83,331,https://i.ytimg.com/vi/L_n7SwjY9eL/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ex7hlKTdYO7,24.21.11,Why This Entertainment Video Went Viral,Channel_3065,18,2024-11-21T16:00:00.000Z,live|official|music,26820,287,74,417,https://i.ytimg.com/vi/MvlhvOXoG-E/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
6rA9jLvy-hM,24.01.04,Entertainment Compilation 2024,Channel_85,18,2024-03-29T11:00:00.000Z,official|vlog|2024,33969,1078,86,31,https://i.ytimg.com/vi/-920P8OyjkA/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
JKthtW0Pkuq,25.14.01,Music Compilation 2024,Channel_4053,21,2025-01-14T22:00:00.000Z,review|trending|live,12098,439,49,37,https://i.ytimg.com/vi/bOgpVFaNJB3/default.jpg,False,False,False,Auto-generated sample description for Music video.
gwjg-slGsjw,25.27.01,Why This Music Video Went Viral,Channel_342,8,2025-01-27T11:00:00.000Z,2024|official|music,37087,401,296,321,https://i.ytimg.com/vi/DcIjuB2jDqC/default.jpg,False,False,False,Auto-generated sample description for Music video.
YsBhF6rMdaP,25.11.01,Reacting to Gaming Trends,Channel_2619,27,2025-01-08T22:00:00.000Z,trending|official|review,60355,3914,145,243,https://i.ytimg.com/vi/cyeODbFhpiA/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
FNPxFz_R5Pj,24.22.03,Reacting to Music Trends,Channel_1760,21,2024-03-20T00:00:00.000Z,trending|2024|review,69360,1653,473,150,https://i.ytimg.com/vi/0KCyKDfzw1n/default.jpg,False,False,False,Auto-generated sample description for Music video.
X8c9AqkvaMv,24.05.05,Behind the Scenes: Entertainment,Channel_4798,22,2024-05-02T20:00:00.000Z,review|2024|vlog,1929703,150186,2720,35448,https://i.ytimg.com/vi/2sVbinCnISn/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
FWmIWzalIXm,24.22.12,Why This Comedy Video Went Viral,Channel_2765,16,2024-12-22T10:00:00.000Z,official|music|trending,48852,3512,301,647,https://i.ytimg.com/vi/QYrAuzf6cu1/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
dZRt4fpFM3d,24.14.08,Music Compilation 2024,Channel_1436,26,2024-08-13T13:00:00.000Z,music|vlog|official,134857,4399,1166,2565,https://i.ytimg.com/vi/zbHlDJ1jmiO/default.jpg,False,False,False,Auto-generated sample description for Music video.
nFp7aaZoGpL,24.16.11,Why This Film & Animation Video Went Viral,Channel_4920,17,2024-11-14T17:00:00.000Z,vlog|official|music,9148,341,46,175,https://i.ytimg.com/vi/ZKfywS_IvPg/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
y8BXxHUCPo4,24.03.11,Why This Music Video Went Viral,Channel_1893,26,2024-11-03T21:00:00.000Z,2024|trending|vlog,67201,2312,310,1078,https://i.ytimg.com/vi/riAV8AJkyNM/default.jpg,False,False,False,Auto-generated sample description for Music video.
xG5VJw-sYOW,24.16.11,Behind the Scenes: Music,Channel_1349,8,2024-11-15T01:00:00.000Z,official|trending|vlog,19507,1328,96,97,https://i.ytimg.com/vi/zro0yNQlh_W/default.jpg,False,False,False,Auto-generated sample description for Music video.
u3_Qa2FkaQ3,24.01.06,Behind the Scenes: Music,Channel_4172,26,2024-06-01T21:00:00.000Z,music|review|official,9890,209,83,81,https://i.ytimg.com/vi/Zv9Pqyr4SoD/default.jpg,False,False,False,Auto-generated sample description for Music video.
UyVDjhsFIWp,24.02.08,Why This Music Video Went Viral,Channel_3962,26,2024-07-31T21:00:00.000Z,vlog|official|review,22960,1051,32,152,https://i.ytimg.com/vi/Xp5M_t1WE4C/default.jpg,False,False,False,Auto-generated sample description for Music video.
L8TdEwU066h,24.11.07,Behind the Scenes: Music,Channel_3507,8,2024-07-10T14:00:00.000Z,live|official|trending,114652,6565,216,386,https://i.ytimg.com/vi/vwKEvYmPP1S/default.jpg,False,False,False,Auto-generated sample description for Music video.
