video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
DHCZgmKWopL,24.23.05,Official Music Highlights,Channel_557,11,2024-05-23T16:00:00.000Z,2024|official|live,42727,3417,138,547,https://i.ytimg.com/vi/GyltCHAMM5x/default.jpg,False,False,False,Auto-generated sample description for Music video.
36Pyo3fYWAP,24.18.05,Top 10 Entertainment Moments This Week,Channel_1745,14,2024-05-15T17:00:00.000Z,2024|vlog|review,21063,858,201,287,https://i.ytimg.com/vi/qMBRSrnIZRi/default.jpg,False,False,True,Auto-generated sample description for Entertainment video.
OgZLkm8SAtz,24.25.02,Official Comedy Highlights,Channel_3038,7,2024-02-21T16:00:00.000Z,2024|official|vlog,14481,739,18,266,https://i.ytimg.com/vi/ZRs5Oydhhi3/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
NglOrljSGiF,24.24.07,Behind the Scenes: Music,Channel_309,11,2024-07-22T02:00:00.000Z,2024|trending|review,21104,1126,81,277,https://i.ytimg.com/vi/yomcMFqdIqZ/default.jpg,False,False,False,Auto-generated sample description for Music video.
a_K8Rp9sZIO,24.10.06,Behind the Scenes: Entertainment,Channel_3337,14,2024-06-07T00:00:00.000Z,2024|live|review,749678,9396,5080,2693,https://i.ytimg.com/vi/zmYF6fcsbti/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
M_PAUwdMJTk,24.02.05,Top 10 Music Moments This Week,Channel_2929,3,2024-05-02T08:00:00.000Z,trending|2024|official,559301,30055,2999,10925,https://i.ytimg.com/vi/Nq7ScnWG7ZS/default.jpg,False,False,False,Auto-generated sample description for Music video.
F0NdxjZUgQa,24.19.11,Music Compilation 2024,Channel_1628,3,2024-11-15T00:00:00.000Z,vlog|review|trending,41789,2347,243,369,https://i.ytimg.com/vi/H0yW1JC5smc/default.jpg,False,False,False,Auto-generated sample description for Music video.
p5aCARPtxhe,24.01.06,Behind the Scenes: Entertainment,Channel_244,14,2024-05-29T12:00:00.000Z,vlog|2024|music,1552,70,3,23,https://i.ytimg.com/vi/-yhpRsqQgux/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
lXbDf8U75nH,24.27.06,Top 10 Gaming Moments This Week,Channel_840,6,2024-06-25T09:00:00.000Z,live|2024|trending,112823,2786,1050,221,https://i.ytimg.com/vi/Su5ytZv3G7i/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
71sOVob9_TJ,24.11.01,Behind the Scenes: Music,Channel_3339,3,2024-01-11T06:00:00.000Z,2024|music|live,144364,3176,404,1581,https://i.ytimg.com/vi/tXgCw5gVTvl/default.jpg,False,False,False,Auto-generated sample description for Music video.
loFZphRmb5H,24.28.08,Why This Music Video Went Viral,Channel_2139,3,2024-08-28T20:00:00.000Z,official|live|2024,190602,6048,913,2737,https://i.ytimg.com/vi/Tl5_w--LxA-/default.jpg,False,False,False,Auto-generated sample description for Music video.
4hsehC9me4h,24.07.12,Behind the Scenes: Comedy,Channel_4705,7,2024-12-03T15:00:00.000Z,vlog|official|review,169654,5917,1584,1354,https://i.ytimg.com/vi/E99ife0h82d/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
Nw1pCIc_JTE,24.18.08,Reacting to Music Trends,Channel_4643,11,2024-08-15T07:00:00.000Z,review|live|vlog,2899,83,13,26,https://i.ytimg.com/vi/2EG9880WtP5/default.jpg,False,False,False,Auto-generated sample description for Music video.
zBpqZT17LfR,24.22.04,Behind the Scenes: Comedy,Channel_3927,7,2024-04-20T03:00:00.000Z,2024|review|vlog,18962,1045,67,272,https://i.ytimg.com/vi/ZIJrIA2zn48/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
WddvwI-M8bJ,24.07.09,Why This Music Video Went Viral,Channel_3841,11,2024-09-05T05:00:00.000Z,2024|live|vlog,231707,9022,258,3751,https://i.ytimg.com/vi/7V03OaoF5By/default.jpg,False,False,False,Auto-generated sample description for Music video.
OrI8-Ft1UtK,24.30.10,Top 10 Science & Technology Moments This Week,Channel_1314,12,2024-10-28T10:00:00.000Z,2024|trending|vlog,13803,420,39,118,https://i.ytimg.com/vi/uLBmLdaz50b/default.jpg,False,False,False,Auto-generated sample description for Science & Technology video.
iMVrynb9JCW,24.18.06,Music Compilation 2024,Channel_1139,3,2024-06-15T10:00:00.000Z,review|live|official,9810,408,36,34,https://i.ytimg.com/vi/m2mUDdwlnMu/default.jpg,False,False,True,Auto-generated sample description for Music video.
lIBY8LmmYLe,24.27.02,Music Compilation 2024,Channel_721,3,2024-02-26T20:00:00.000Z,2024|vlog|review,135149,10472,341,2649,https://i.ytimg.com/vi/TsAhz07keW8/default.jpg,False,False,False,Auto-generated sample description for Music video.
8XLqlAU3T5C,24.02.10,Behind the Scenes: Music,Channel_2242,11,2024-09-30T09:00:00.000Z,review|live|trending,55144,3087,120,50,https://i.ytimg.com/vi/rrQq3C-vVMb/default.jpg,False,False,False,Auto-generated sample description for Music video.
ctYmJV4ETFU,24.08.02,Top 10 Music Moments This Week,Channel_698,11,2024-02-07T02:00:00.000Z,official|music|trending,444106,28960,2299,5727,https://i.ytimg.com/vi/h9DigXQaOBk/default.jpg,False,False,False,Auto-generated sample description for Music video.
WFHe2XZbNsF,24.25.10,Official Entertainment Highlights,Channel_25,14,2024-10-23T15:00:00.000Z,music|trending|review,33014,957,147,132,https://i.ytimg.com/vi/TmRoX_c4kqn/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
rVapF68-anr,24.20.07,Why This Music Video Went Viral,Channel_451,3,2024-07-17T02:00:00.000Z,official|vlog|trending,100286,4145,484,370,https://i.ytimg.com/vi/DfdlmeN2hyL/default.jpg,False,False,False,Auto-generated sample description for Music video.
cRBjQ50VhUl,24.16.11,Comedy Compilation 2024,Channel_4086,4,2024-11-12T13:00:00.000Z,live|review|music,6280,426,44,100,https://i.ytimg.com/vi/bYL8gjH6mlB/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
dNmYg-JrJaV,24.22.02,Reacting to Entertainment Trends,Channel_1065,14,2024-02-20T18:00:00.000Z,trending|live|review,55554,2414,400,838,https://i.ytimg.com/vi/Hb1v1RmqVZO/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
TdJlrP8TYzW,24.22.11,Top 10 Music Moments This Week,Channel_1580,3,2024-11-21T09:00:00.000Z,vlog|live|2024,10053,437,90,89,https://i.ytimg.com/vi/3v6-0nyX3bV/default.jpg,False,False,False,Auto-generated sample description for Music video.
MzOh16fS3Il,24.12.04,Top 10 Music Moments This Week,Channel_4681,3,2024-04-10T05:00:00.000Z,vlog|official|trending,40644,570,120,251,https://i.ytimg.com/vi/ypcs_JmwTzu/default.jpg,False,False,False,Auto-generated sample description for Music video.
OJNFUg0AiAT,24.01.02,Behind the Scenes: Music,Channel_2876,3,2024-01-30T08:00:00.000Z,official|music|live,65301,3683,83,965,https://i.ytimg.com/vi/V6CR5tDbH52/default.jpg,False,False,False,Auto-generated sample description for Music video.
uhgqYEbTr7O,24.10.11,Reacting to Music Trends,Channel_4835,11,2024-11-09T16:00:00.000Z,trending|vlog|review,9670,141,39,74,https://i.ytimg.com/vi/GNJYFRnYaBB/default.jpg,False,False,False,Auto-generated sample description for Music video.
d8B4j0sGTeh,24.14.04,Reacting to Music Trends,Channel_1007,3,2024-04-14T10:00:00.000Z,live|vlog|trending,600390,41971,3391,8286,https://i.ytimg.com/vi/Z24qotj4UaY/default.jpg,False,False,False,Auto-generated sample description for Music video.
Yg5ubMafSSF,24.14.10,Reacting to Entertainment Trends,Channel_617,14,2024-10-10T09:00:00.000Z,trending|vlog|music,88041,4361,584,1007,https://i.ytimg.com/vi/S0WGWAZyaz_/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
LbAutxgU1l-,24.05.09,Behind the Scenes: Music,Channel_2014,11,2024-09-03T02:00:00.000Z,vlog|music|live,297647,12185,1712,4963,https://i.ytimg.com/vi/rM4i0I79bLz/default.jpg,False,False,False,Auto-generated sample description for Music video.
K2xw1jqa_ml,24.30.03,Official Comedy Highlights,Channel_689,7,2024-03-30T03:00:00.000Z,review|music|trending,10823,419,100,54,https://i.ytimg.com/vi/QULe3Inv4-j/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
RCyTrJ8RHBM,24.19.06,Comedy Compilation 2024,Channel_4261,7,2024-06-19T01:00:00.000Z,live|music|official,5389,410,13,95,https://i.ytimg.com/vi/pL5hOKFppAq/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
wuQ9XXrLCOT,24.02.02,Behind the Scenes: Comedy,Channel_3436,4,2024-01-29T19:00:00.000Z,music|vlog|official,29579,1727,131,588,https://i.ytimg.com/vi/pe7lsymW5Ml/default.jpg,False,True,False,Auto-generated sample description for Comedy video.
WcRiffdTVYs,24.27.07,Top 10 Entertainment Moments This Week,Channel_1891,14,2024-07-23T19:00:00.000Z,live|official|vlog,60826,2196,164,698,https://i.ytimg.com/vi/ynQkhy_dNJM/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
mn-OpiFrKlU,24.08.01,Top 10 Music Moments This Week,Channel_4911,11,2024-01-06T03:00:00.000Z,2024|official|live,7863,468,56,151,https://i.ytimg.com/vi/hEugvQOLkdL/default.jpg,False,True,False,Auto-generated sample description for Music video.
4mQvzQSc_e0,24.06.01,Reacting to Entertainment Trends,Channel_3425,14,2024-01-02T08:00:00.000Z,trending|review|music,453329,4960,2888,4236,https://i.ytimg.com/vi/S-W4AXFbAO7/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
5KMc21TMK1A,24.17.04,Reacting to Gaming Trends,Channel_1029,16,2024-04-15T14:00:00.000Z,vlog|2024|review,2126,102,14,38,https://i.ytimg.com/vi/U5sm4FK3HMH/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
OKkKA3wMCuV,24.19.12,Reacting to Entertainment Trends,Channel_3590,14,2024-12-18T00:00:00.000Z,trending|live|2024,135229,8501,800,1946,https://i.ytimg.com/vi/e-F1Wovsqrs/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
7n35X-0YDB4,24.01.10,Reacting to Music Trends,Channel_3631,11,2024-09-28T16:00:00.000Z,trending|music|official,5626,313,24,43,https://i.ytimg.com/vi/qGQMU8JaZIT/default.jpg,False,False,False,Auto-generated sample description for Music video.
cgbk7Ln9OzT,25.20.01,Gaming Compilation 2024,Channel_3796,16,2025-01-16T06:00:00.000Z,music|official|vlog,3050,189,23,20,https://i.ytimg.com/vi/-mfHYQ1pb8F/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
qzReJBLOI0a,24.27.05,Official Entertainment Highlights,Channel_4648,14,2024-05-24T18:00:00.000Z,live|review|2024,84446,3248,200,657,https://i.ytimg.com/vi/CR-vL4ESlLd/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
sZ4jZ-Z3DIy,24.07.12,Reacting to Film & Animation Trends,Channel_1666,9,2024-12-05T07:00:00.000Z,review|2024|official,11110,794,99,43,https://i.ytimg.com/vi/2JVXpGHgwc2/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
k7hO9QQC4Aj,24.21.07,Music Compilation 2024,Channel_3734,11,2024-07-18T04:00:00.000Z,music|vlog|official,68536,4862,293,475,https://i.ytimg.com/vi/4wgymsoGRGD/default.jpg,False,False,False,Auto-generated sample description for Music video.
iPDvBSZHStO,24.14.12,Top 10 Music Moments This Week,Channel_22,11,2024-12-12T15:00:00.000Z,live|trending|2024,276936,2770,1235,1830,https://i.ytimg.com/vi/-qCgiGy51Au/default.jpg,False,False,False,Auto-generated sample description for Music video.
uLYpQeI5LGq,24.08.10,Reacting to Travel & Events Trends,Channel_418,13,2024-10-05T10:00:00.000Z,official|review|vlog,24468,617,34,160,https://i.ytimg.com/vi/yFtsQc5SeYE/default.jpg,False,False,False,Auto-generated sample description for Travel & Events video.
baRAsNB3zDN,24.17.08,Official Music Highlights,Channel_882,3,2024-08-14T15:00:00.000Z,review|music|vlog,50874,721,124,1006,https://i.ytimg.com/vi/AVewfkmqbg0/default.jpg,False,False,False,Auto-generated sample description for Music video.
qBcqthD9RKd,24.27.12,Nonprofits & Activism Compilation 2024,Channel_4160,5,2024-12-23T17:00:00.000Z,live|official|music,3328,60,30,42,https://i.ytimg.com/vi/sZtOoqSBq0F/default.jpg,False,False,False,Auto-generated sample description for Nonprofits & Activism video.
DPWpqym3RM8,24.09.06,Official Entertainment Highlights,Channel_3467,14,2024-06-07T09:00:00.000Z,official|live|music,6332,186,27,64,https://i.ytimg.com/vi/-L0z78gk7oX/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
BcVYWGFoRSJ,24.12.10,Official Entertainment Highlights,Channel_761,14,2024-10-08T20:00:00.000Z,vlog|review|trending,449257,24106,1989,4135,https://i.ytimg.com/vi/WXb2huV20BM/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
14mHDCnJSsy,24.11.11,Music Compilation 2024,Channel_2366,11,2024-11-10T04:00:00.000Z,live|2024|music,254513,14644,1718,1437,https://i.ytimg.com/vi/lKMzYv-pOFY/default.jpg,False,False,False,Auto-generated sample description for Music video.
9IfeYUr5nME,24.07.04,Music Compilation 2024,Channel_71,11,2024-04-04T06:00:00.000Z,trending|official|live,18653,214,102,87,https://i.ytimg.com/vi/BoXgwWcHTIQ/default.jpg,False,False,False,Auto-generated sample description for Music video.
o_RQNk_A3ov,24.18.08,Official Music Highlights,Channel_3336,3,2024-08-14T04:00:00.000Z,vlog|review|music,9204,584,47,47,https://i.ytimg.com/vi/JKf0nW6fGgZ/default.jpg,False,False,False,Auto-generated sample description for Music video.
pEPIBEU7WJ_,24.20.12,Entertainment Compilation 2024,Channel_2516,14,2024-12-17T10:00:00.000Z,review|trending|2024,69075,2188,117,1315,https://i.ytimg.com/vi/K2w5c7BEa9_/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
Jic4tZ7tK_t,24.24.11,Top 10 Music Moments This Week,Channel_367,11,2024-11-21T06:00:00.000Z,review|vlog|music,263684,8280,1364,792,https://i.ytimg.com/vi/jtwZEJY1lE1/default.jpg,False,False,False,Auto-generated sample description for Music video.
Jn5iZ7GU3yz,24.07.11,Behind the Scenes: Entertainment,Channel_4808,14,2024-11-03T21:00:00.000Z,music|trending|2024,620540,23737,808,2093,https://i.ytimg.com/vi/Nm9V4EexWqA/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
JRLLjwagCpC,25.31.01,Reacting to Music Trends,Channel_2449,3,2025-01-29T06:00:00.000Z,live|music|trending,11449,128,39,122,https://i.ytimg.com/vi/G8Qf_6VOnBU/default.jpg,False,False,False,Auto-generated sample description for Music video.
dMpJQ8ecAaI,24.27.09,Music Compilation 2024,Channel_1328,11,2024-09-24T05:00:00.000Z,vlog|2024|official,16458,186,11,110,https://i.ytimg.com/vi/7RnbsJRv6WV/default.jpg,False,False,False,Auto-generated sample description for Music video.
mazgh-tM-kV,25.19.01,Reacting to Music Trends,Channel_398,3,2025-01-15T14:00:00.000Z,trending|2024|official,351686,5903,2578,1628,https://i.ytimg.com/vi/JcPILw_8AuY/default.jpg,False,False,False,Auto-generated sample description for Music video.
uT3UKiooT4O,24.15.11,Behind the Scenes: Music,Channel_364,3,2024-11-13T00:00:00.000Z,review|trending|vlog,15058,260,96,88,https://i.ytimg.com/vi/XagZaZmpGai/default.jpg,False,False,False,Auto-generated sample description for Music video.
OLY6W2kOqFi,24.15.03,Film & Animation Compilation 2024,Channel_2177,9,2024-03-13T22:00:00.000Z,live|review|2024,228360,13076,1533,2736,https://i.ytimg.com/vi/tXozA09vVXp/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
ihhZ6Fs0-GV,24.08.01,Music Compilation 2024,Channel_1111,11,2024-01-07T04:00:00.000Z,vlog|2024|review,74583,1423,281,1090,https://i.ytimg.com/vi/euLFn4YXIA0/default.jpg,False,False,False,Auto-generated sample description for Music video.
ZOcGQEnxgTQ,24.08.11,Reacting to Entertainment Trends,Channel_4097,14,2024-11-08T05:00:00.000Z,live|review|2024,135457,9878,1234,989,https://i.ytimg.com/vi/iJKc-1rtJ0m/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
THkKpP6fyao,24.08.05,Official Entertainment Highlights,Channel_1132,14,2024-05-07T22:00:00.000Z,vlog|live|2024,962602,29688,2671,2668,https://i.ytimg.com/vi/xTfFBwpEQIp/default.jpg,False,False,False,
JxKxLxUgLSv,24.16.11,Reacting to Travel & Events Trends,Channel_2402,13,2024-11-12T07:00:00.000Z,vlog|trending|2024,6275,412,17,104,https://i.ytimg.com/vi/jlfbITu-g4P/default.jpg,False,False,False,Auto-generated sample description for Travel & Events video.
Vy-8ifnr77N,24.28.11,Reacting to Comedy Trends,Channel_1867,4,2024-11-28T01:00:00.000Z,2024|trending|vlog,13718,659,128,14,https://i.ytimg.com/vi/Hlzpj2I5XSB/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
I0dR7UZYNGO,24.16.02,Reacting to Entertainment Trends,Channel_1868,14,2024-02-12T11:00:00.000Z,official|live|music,19405,324,132,71,https://i.ytimg.com/vi/kTl9Jt4Ig1E/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
J_UH_DmozaG,24.03.08,Reacting to Music Trends,Channel_1390,3,2024-07-30T00:00:00.000Z,vlog|trending|music,16213,340,72,108,https://i.ytimg.com/vi/GrCPF1KZ2Ot/default.jpg,False,False,False,Auto-generated sample description for Music video.
OppS3pMWh1i,24.31.08,Why This Music Video Went Viral,Channel_1151,11,2024-08-27T20:00:00.000Z,vlog|2024|music,19178,1272,182,95,https://i.ytimg.com/vi/AsPMP5j_77I/default.jpg,False,False,False,Auto-generated sample description for Music video.
GE5J3XCy1k9,25.27.01,Behind the Scenes: Music,Channel_274,11,2025-01-23T05:00:00.000Z,live|review|vlog,19265,856,123,244,https://i.ytimg.com/vi/NVDJ3MXqA4E/default.jpg,False,False,False,Auto-generated sample description for Music video.
TpNxxRdhLh7,24.09.09,Official Science & Technology Highlights,Channel_297,12,2024-09-07T00:00:00.000Z,review|trending|2024,4746,187,38,41,https://i.ytimg.com/vi/ad8fsQmfeki/default.jpg,False,False,False,Auto-generated sample description for Science & Technology video.
8bJnVR_5PXc,24.01.10,Reacting to Music Trends,Channel_4365,3,2024-09-29T10:00:00.000Z,review|official|2024,73130,4655,82,779,https://i.ytimg.com/vi/LF6K5e4OFWI/default.jpg,False,False,False,Auto-generated sample description for Music video.
oNrHby6KfA0,24.02.06,Reacting to Entertainment Trends,Channel_4841,14,2024-05-29T14:00:00.000Z,official|vlog|2024,6501,163,8,81,https://i.ytimg.com/vi/PmkUudWCTYx/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
CpcpWiBl3DZ,24.15.04,Reacting to Music Trends,Channel_2637,3,2024-04-11T19:00:00.000Z,official|review|vlog,240477,14981,1101,4571,https://i.ytimg.com/vi/km_ld2F84t3/default.jpg,False,False,False,Auto-generated sample description for Music video.
8pJFcxXFqq4,24.16.07,Behind the Scenes: Music,Channel_38,3,2024-07-13T10:00:00.000Z,official|live|trending,1007883,11192,2923,17154,https://i.ytimg.com/vi/t6lyekfBFWM/default.jpg,False,False,False,Auto-generated sample description for Music video.
6g1toNm0GxF,24.01.09,Comedy Compilation 2024,Channel_3602,7,2024-08-30T11:00:00.000Z,live|2024|official,97774,6396,669,166,https://i.ytimg.com/vi/oT2UeVd2443/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
6ehVF-8xYeN,24.16.12,Top 10 Music Moments This Week,Channel_2038,11,2024-12-12T18:00:00.000Z,live|trending|review,63770,4261,421,944,https://i.ytimg.com/vi/vh9Vse8-X4e/default.jpg,False,False,False,Auto-generated sample description for Music video.
LmR8w6SYcUV,24.06.05,Behind the Scenes: Film & Animation,Channel_1390,9,2024-05-05T17:00:00.000Z,vlog|review|music,12749,158,11,74,https://i.ytimg.com/vi/T6DVjgYamKx/default.jpg,True,False,False,Auto-generated sample description for Film & Animation video.
71XVXN_rldf,24.25.06,Top 10 Music Moments This Week,Channel_3197,3,2024-06-21T01:00:00.000Z,trending|music|official,45519,3435,142,177,https://i.ytimg.com/vi/BU20uNeHIEA/default.jpg,False,False,False,Auto-generated sample description for Music video.
q8tezohulOt,24.24.02,Official Education Highlights,Channel_593,10,2024-02-22T02:00:00.000Z,review|live|trending,6336,495,11,49,https://i.ytimg.com/vi/x-VaLSImNkP/default.jpg,False,False,False,Auto-generated sample description for Education video.
s2kglgvriZx,24.06.11,Music Compilation 2024,Channel_2396,3,2024-11-02T05:00:00.000Z,trending|vlog|2024,22954,1435,153,262,https://i.ytimg.com/vi/V1YEryntYYk/default.jpg,False,False,False,Auto-generated sample description for Music video.
geiOBv8F8ik,24.21.05,Official Nonprofits & Activism Highlights,Channel_4719,17,2024-05-20T08:00:00.000Z,2024|trending|music,11380,471,82,143,https://i.ytimg.com/vi/JTlsglDikmh/default.jpg,False,False,False,Auto-generated sample description for Nonprofits & Activism video.
odm47rGDfDw,24.09.02,Official Music Highlights,Channel_3172,11,2024-02-08T10:00:00.000Z,vlog|music|trending,34710,1872,165,643,https://i.ytimg.com/vi/QNJIIEa-g50/default.jpg,False,False,False,Auto-generated sample description for Music video.
n3Ny16zPs8z,24.09.10,Comedy Compilation 2024,Channel_2907,4,2024-10-08T10:00:00.000Z,official|review|live,112575,6221,489,1079,https://i.ytimg.com/vi/LNQelwlnCjl/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
x9jZ-t_NJ_s,24.24.02,Official Entertainment Highlights,Channel_3999,14,2024-02-20T18:00:00.000Z,live|official|2024,1550051,120813,12453,9913,https://i.ytimg.com/vi/tKKsv_eQkIf/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
1JPIy_cCXnH,24.03.12,Behind the Scenes: Music,Channel_2865,3,2024-11-29T11:00:00.000Z,2024|review|trending,151717,1855,133,251,https://i.ytimg.com/vi/VPSyaLsEsif/default.jpg,False,False,False,Auto-generated sample description for Music video.
wUbt4Re0DtT,24.20.01,Official Music Highlights,Channel_4012,11,2024-01-20T04:00:00.000Z,2024|music|live,244874,13199,308,3522,https://i.ytimg.com/vi/kPo5WfNUfyH/default.jpg,False,False,False,Auto-generated sample description for Music video.
EA87Yri6c5E,24.16.02,Top 10 Music Moments This Week,Channel_3345,3,2024-02-12T16:00:00.000Z,music|review|trending,41851,2437,387,713,https://i.ytimg.com/vi/2RzjberU83X/default.jpg,False,False,False,Auto-generated sample description for Music video.
yVV3tm75_bm,24.09.08,Official Music Highlights,Channel_2929,3,2024-08-08T15:00:00.000Z,live|music|official,49762,956,360,870,https://i.ytimg.com/vi/yOKTxfSk2n7/default.jpg,False,False,False,Auto-generated sample description for Music video.
PbKDq3f0opm,24.24.04,Gaming Compilation 2024,Channel_3789,16,2024-04-23T18:00:00.000Z,review|official|2024,2221,31,11,16,https://i.ytimg.com/vi/eKId7NTu9IT/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
Bula1ddV4Qb,24.01.06,Behind the Scenes: Comedy,Channel_1640,7,2024-05-29T12:00:00.000Z,vlog|2024|official,6385,370,5,49,https://i.ytimg.com/vi/yRvzpQ3RSxx/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
oi3Bied-77W,24.02.02,Official Music Highlights,Channel_1662,3,2024-01-30T11:00:00.000Z,vlog|review|music,7263,574,43,27,https://i.ytimg.com/vi/Orp9V0vg33A/default.jpg,False,False,False,Auto-generated sample description for Music video.
0Fdn3D-yhqt,24.25.10,Official Gaming Highlights,Channel_3828,6,2024-10-25T10:00:00.000Z,official|2024|trending,9165,496,24,79,https://i.ytimg.com/vi/uomC36p18Gu/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
YFko6KSTNgv,25.09.01,Entertainment Compilation 2024,Channel_4124,14,2025-01-08T05:00:00.000Z,live|2024|music,113505,2576,58,684,https://i.ytimg.com/vi/KkERUP54mx_/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
V7dokw2O2-P,24.27.07,Behind the Scenes: Music,Channel_2226,11,2024-07-26T08:00:00.000Z,trending|live|music,9472,519,71,161,https://i.ytimg.com/vi/YXJ8VqvAX__/default.jpg,False,False,False,Auto-generated sample description for Music video.
b8c8zcMyNIq,24.29.06,Reacting to Music Trends,Channel_3521,3,2024-06-28T13:00:00.000Z,live|official|2024,3892,283,7,72,https://i.ytimg.com/vi/ecB5BNp6uij/default.jpg,False,False,False,Auto-generated sample description for Music video.
psVunUiYzUS,24.23.08,Reacting to Music Trends,Channel_1216,11,2024-08-20T10:00:00.000Z,music|live|2024,54191,2822,517,204,https://i.ytimg.com/vi/7PO6oYWGrxH/default.jpg,False,False,False,Auto-generated sample description for Music video.
cpKmEDBJ0qR,24.12.01,Reacting to Travel & Events Trends,Channel_4849,15,2024-01-12T16:00:00.000Z,review|live|2024,51499,2549,371,312,https://i.ytimg.com/vi/-K8cc0MBU_6/default.jpg,False,False,False,Auto-generated sample description for Travel & Events video.
hqxskNQu5IQ,24.11.08,Reacting to Education Trends,Channel_3354,10,2024-08-09T13:00:00.000Z,review|music|live,2524,40,11,38,https://i.ytimg.com/vi/YOTc-EiFveX/default.jpg,False,False,False,Auto-generated sample description for Education video.
uebBss_BZQ1,24.28.06,Official Music Highlights,Channel_3628,3,2024-06-25T13:00:00.000Z,review|trending|vlog,1201,17,5,5,https://i.ytimg.com/vi/8sYASgTJuvt/default.jpg,False,False,False,Auto-generated sample description for Music video.
1O2oWDXIxG8,24.23.07,Top 10 Music Moments This Week,Channel_964,3,2024-07-20T02:00:00.000Z,review|vlog|official,49166,3266,25,712,https://i.ytimg.com/vi/oYpnVVo7jbs/default.jpg,False,False,False,Auto-generated sample description for Music video.
