video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
4oB_dD2fUGJ,24.05.09,Pets & Animals Compilation 2024,Channel_1720,22,2024-09-04T18:00:00.000Z,official|2024|vlog,6008,231,33,44,https://i.ytimg.com/vi/DFR0h0Uy0vy/default.jpg,False,False,False,Auto-generated sample description for Pets & Animals video.
dtfVoKT2LSX,24.07.11,Reacting to Sports Trends,Channel_705,3,2024-11-06T01:00:00.000Z,official|2024|vlog,11528,740,28,142,https://i.ytimg.com/vi/e4MTa50rt7a/default.jpg,False,False,False,Auto-generated sample description for Sports video.
5cE48tYxyAU,24.02.06,Reacting to Music Trends,Channel_2524,13,2024-06-02T14:00:00.000Z,trending|2024|music,33483,349,168,474,https://i.ytimg.com/vi/1ddvgIPuY5l/default.jpg,False,False,False,Auto-generated sample description for Music video.
9hpeDHG7v39,24.27.11,Comedy Compilation 2024,Channel_2592,18,2024-11-23T11:00:00.000Z,vlog|live|2024,55843,1975,403,169,https://i.ytimg.com/vi/RL69Ke2jYPz/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
-kdWXS7Luw-,24.05.10,Official Film & Animation Highlights,Channel_824,21,2024-10-02T04:00:00.000Z,official|2024|vlog,5644,401,24,14,https://i.ytimg.com/vi/2RZ0mcDuRAS/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
pY4FO9nkdIN,24.23.10,Top 10 Comedy Moments This Week,Channel_983,10,2024-10-20T15:00:00.000Z,music|review|live,5065,318,25,55,https://i.ytimg.com/vi/GfO4mjRHC10/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
jszxeqXNJzc,24.15.03,Behind the Scenes: Gaming,Channel_327,5,2024-03-13T16:00:00.000Z,review|official|2024,21157,1078,172,134,https://i.ytimg.com/vi/9BrgPXlKH5V/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
K9L91tjwu7p,24.28.10,Behind the Scenes: Science & Technology,Channel_2016,11,2024-10-28T07:00:00.000Z,music|review|vlog,17755,1377,155,198,https://i.ytimg.com/vi/1fj2hPVLV6P/default.jpg,False,False,False,Auto-generated sample description for Science & Technology video.
E1L09aYJlwy,24.18.12,Official Nonprofits & Activism Highlights,Channel_4293,9,2024-12-18T07:00:00.000Z,2024|official|live,5136,332,2,89,https://i.ytimg.com/vi/ID6N2idaHHf/default.jpg,False,False,False,Auto-generated sample description for Nonprofits & Activism video.
ChVRPLoMlUJ,24.25.11,Music Compilation 2024,Channel_1075,13,2024-11-22T17:00:00.000Z,trending|live|review,50493,754,136,559,https://i.ytimg.com/vi/eGz5x2CcSmQ/default.jpg,False,False,False,Auto-generated sample description for Music video.
