video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
gY6ysWQMqnN,24.18.03,Howto & Style Compilation 2024,Channel_4452,2,2024-03-18T09:00:00.000Z,trending|2024|live,102523,5581,691,2021,https://i.ytimg.com/vi/hAUgW_-C4Lt/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
Yet-U84xs7A,24.01.08,Reacting to Gaming Trends,Channel_1669,1,2024-07-29T09:00:00.000Z,trending|official|music,8171,318,49,32,https://i.ytimg.com/vi/cnoelk62VA_/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
VmEg_61QcR4,24.06.02,Top 10 Film & Animation Moments This Week,Channel_3010,9,2024-02-02T18:00:00.000Z,2024|trending|official,3928,247,9,12,https://i.ytimg.com/vi/kM-MH6GangS/default.jpg,False,True,False,Auto-generated sample description for Film & Animation video.
FEmw95A48Wb,24.02.07,Why This People & Blogs Video Went Viral,Channel_1392,18,2024-06-28T18:00:00.000Z,2024|music|vlog,6230,315,13,106,https://i.ytimg.com/vi/fVI4CUVdorY/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
5Fjx3CsgSo-,25.29.01,Top 10 Entertainment Moments This Week,Channel_272,16,2025-01-27T12:00:00.000Z,2024|vlog|review,17324,875,165,309,https://i.ytimg.com/vi/clvpDJ38lIc/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
MM4Bem2bEgt,24.16.06,Top 10 Music Moments This Week,Channel_1596,26,2024-06-13T19:00:00.000Z,trending|review|vlog,4901,110,11,97,https://i.ytimg.com/vi/eocBCIr4PwJ/default.jpg,False,False,False,Auto-generated sample description for Music video.
2kq_SIR3aZ7,24.02.04,Top 10 Entertainment Moments This Week,Channel_2108,16,2024-03-31T06:00:00.000Z,trending|live|vlog,77986,2765,393,1143,https://i.ytimg.com/vi/R5DnBynFGsN/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
80eBIIUCruq,24.25.08,Music Compilation 2024,Channel_2257,26,2024-08-23T20:00:00.000Z,vlog|official|2024,23413,1838,100,26,https://i.ytimg.com/vi/gWxFzq3HaU8/default.jpg,False,False,False,Auto-generated sample description for Music video.
K82rMyJuTPe,25.27.01,Entertainment Compilation 2024,Channel_2337,17,2025-01-25T12:00:00.000Z,review|music|trending,110934,4334,456,637,https://i.ytimg.com/vi/OylpckgzYST/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
lujXE8tpnrn,24.25.05,Reacting to Gaming Trends,Channel_2023,10,2024-05-23T11:00:00.000Z,trending|review|official,5982,291,13,33,https://i.ytimg.com/vi/RXOYmnt90Bz/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
NRUFHLKxP2o,24.16.08,Reacting to Gaming Trends,Channel_3934,1,2024-08-13T04:00:00.000Z,trending|music|official,38456,2978,291,621,https://i.ytimg.com/vi/pb1VON8wOPy/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
gXLH5g0V2HQ,24.22.01,Why This Comedy Video Went Viral,Channel_4046,12,2024-01-21T13:00:00.000Z,review|music|official,4440,235,10,76,https://i.ytimg.com/vi/sLofr3Jtij9/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
C_F5KJChfvm,24.30.05,Reacting to Entertainment Trends,Channel_4112,17,2024-05-29T04:00:00.000Z,live|review|official,942855,63493,1070,15732,https://i.ytimg.com/vi/Vg3xPNKM0on/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
