video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
o_lZYCYItpE,24.07.12,Behind the Scenes: Entertainment,Channel_2023,8,2024-12-05T21:00:00.000Z,live|2024|trending,122750,1378,1052,1584,https://i.ytimg.com/vi/_TUvkhkMpJX/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
JneD-VRwzV6,24.16.03,Reacting to Howto & Style Trends,Channel_1849,1,2024-03-15T13:00:00.000Z,vlog|music|live,17525,655,80,269,https://i.ytimg.com/vi/vP6mtHpV4jY/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
PxRmGJKn5uV,24.08.04,Behind the Scenes: Entertainment,Channel_4795,17,2024-04-08T12:00:00.000Z,live|2024|official,28043,1031,153,173,https://i.ytimg.com/vi/SbTpi4uc7Gp/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ZvR7qLgKJLd,24.08.09,Official Gaming Highlights,Channel_3975,13,2024-09-05T21:00:00.000Z,music|vlog|live,66201,4317,481,168,https://i.ytimg.com/vi/IGyOcuMh0h8/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
Cbntj6cQ2Ua,24.23.04,Official People & Blogs Highlights,Channel_151,3,2024-04-22T10:00:00.000Z,official|vlog|music,51412,1659,268,581,https://i.ytimg.com/vi/y3q-rGp-nyw/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
klcE80FMslN,24.03.11,Entertainment Compilation 2024,Channel_958,17,2024-11-03T19:00:00.000Z,vlog|2024|official,226702,3627,382,3252,https://i.ytimg.com/vi/3aVYLgaQ9M0/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
cKQiWvl-gBD,24.26.04,Top 10 Gaming Moments This Week,Channel_565,13,2024-04-24T19:00:00.000Z,vlog|2024|trending,13498,619,60,255,https://i.ytimg.com/vi/yhkoP18AxD4/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
HiZUlY7mku3,24.08.07,Behind the Scenes: Entertainment,Channel_2185,8,2024-07-07T16:00:00.000Z,2024|review|official,31934,2036,39,494,https://i.ytimg.com/vi/fyiyqSdv9Bq/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
Fnq3UXVH5M4,25.02.01,Entertainment Compilation 2024,Channel_3901,8,2025-01-01T16:00:00.000Z,2024|music|vlog,16570,236,117,84,https://i.ytimg.com/vi/-zcx0a043iS/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
pu83JNDQWwA,24.09.07,Behind the Scenes: Entertainment,Channel_3268,17,2024-07-07T09:00:00.000Z,vlog|music|review,20598,375,158,41,https://i.ytimg.com/vi/Z1plyS6bKrX/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
