video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
mgndgmpcXrq,24.10.10,Why This Comedy Video Went Viral,Channel_3044,18,2024-10-10T21:00:00.000Z,official|vlog|2024,18238,189,163,162,https://i.ytimg.com/vi/GBfhLZWixvl/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
4joYhScL04k,24.09.04,News & Politics Compilation 2024,Channel_3608,6,2024-04-07T19:00:00.000Z,trending|music|review,3302,130,26,46,https://i.ytimg.com/vi/INbgmy6wKZb/default.jpg,False,False,False,Auto-generated sample description for News & Politics video.
zX3rqgrQ-1Z,24.13.11,Reacting to Nonprofits & Activism Trends,Channel_1465,12,2024-11-09T11:00:00.000Z,review|live|trending,2282,68,10,20,https://i.ytimg.com/vi/eiYxAJrQ4ly/default.jpg,False,False,False,Auto-generated sample description for Nonprofits & Activism video.
pNByRcLs2Ni,25.15.01,Comedy Compilation 2024,Channel_2818,18,2025-01-12T15:00:00.000Z,official|trending|2024,15569,626,66,76,https://i.ytimg.com/vi/_fJOVrD1KcI/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
O34Ecp1TWU-,24.09.01,Top 10 Entertainment Moments This Week,Channel_3936,4,2024-01-06T03:00:00.000Z,2024|vlog|live,30533,450,227,176,https://i.ytimg.com/vi/MYncVNBSsga/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
uflDtCB3TWC,24.24.10,Official Comedy Highlights,Channel_4949,18,2024-10-21T15:00:00.000Z,live|music|official,15723,678,22,119,https://i.ytimg.com/vi/pBQzs9EA_OJ/default.jpg,False,False,False,Auto-generated sample description for Comedy video.
wVqm08Zsg-Q,24.29.09,Top 10 Music Moments This Week,Channel_4261,16,2024-09-25T02:00:00.000Z,official|live|trending,44693,2635,327,496,https://i.ytimg.com/vi/a8R1x2UWOvK/default.jpg,False,False,False,Auto-generated sample description for Music video.
zUVCQTO3Hi2,24.09.11,Reacting to Entertainment Trends,Channel_4691,4,2024-11-07T22:00:00.000Z,trending|live|review,36892,2255,260,737,https://i.ytimg.com/vi/z343IK-Hk5P/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
D5LQk-LXBSR,24.19.05,Reacting to Music Trends,Channel_4653,16,2024-05-16T08:00:00.000Z,trending|review|vlog,280301,4864,2603,4452,https://i.ytimg.com/vi/U_w_RhAnbAv/default.jpg,False,False,False,Auto-generated sample description for Music video.
oVHwtf0iixL,24.07.05,Why This Entertainment Video Went Viral,Channel_3896,17,2024-05-03T12:00:00.000Z,vlog|music|trending,46840,3328,292,68,https://i.ytimg.com/vi/p3AWkz_RMjK/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
