video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
61e2Jn1yY3M,24.31.05,Music Compilation 2024,Channel_4738,18,2024-05-28T05:00:00.000Z,review|live|vlog,54078,803,262,219,https://i.ytimg.com/vi/BzGjcP__iTy/default.jpg,False,False,False,Auto-generated sample description for Music video.
DQBFSKB-siv,24.03.01,Official Music Highlights,Channel_934,2,2024-01-03T21:00:00.000Z,review|live|official,83630,1132,455,1541,https://i.ytimg.com/vi/9GYPykfpTUY/default.jpg,False,False,False,Auto-generated sample description for Music video.
VKQL0dxFhGk,24.15.11,Why This Entertainment Video Went Viral,Channel_4614,6,2024-11-15T19:00:00.000Z,live|music|trending,41358,1937,282,688,https://i.ytimg.com/vi/AIE8xZmtinJ/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
JA93yT2G7t8,24.16.08,Entertainment Compilation 2024,Channel_4564,14,2024-08-12T17:00:00.000Z,trending|review|2024,21905,1246,205,303,https://i.ytimg.com/vi/264U5GU9B23/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
kkoCmz9EQaR,24.08.01,Top 10 Music Moments This Week,Channel_4598,2,2024-01-06T05:00:00.000Z,live|2024|vlog,123231,6570,651,1317,https://i.ytimg.com/vi/48XEDJqBtin/default.jpg,False,False,False,Auto-generated sample description for Music video.
nO2f-NvMvY6,24.27.04,Official Science & Technology Highlights,Channel_553,19,2024-04-24T05:00:00.000Z,music|vlog|live,5838,446,35,72,https://i.ytimg.com/vi/Q8oTUqsei5w/default.jpg,False,False,False,Auto-generated sample description for Science & Technology video.
uFky4Jy6_GT,24.09.05,Official Music Highlights,Channel_2530,18,2024-05-08T18:00:00.000Z,trending|music|review,7782,427,70,132,https://i.ytimg.com/vi/3O_Yfp1rBAB/default.jpg,False,False,False,Auto-generated sample description for Music video.
d3SJJC_Yp9o,24.08.07,Official Music Highlights,Channel_2164,7,2024-07-05T09:00:00.000Z,vlog|live|review,1620,75,4,10,https://i.ytimg.com/vi/mnwmn8kwEf6/default.jpg,False,False,False,Auto-generated sample description for Music video.
eDcRJgxoVw4,24.17.01,Reacting to Entertainment Trends,Channel_136,14,2024-01-13T17:00:00.000Z,trending|2024|live,987,27,7,12,https://i.ytimg.com/vi/CRZMcr2uho1/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
h3KQ-nCBDHj,24.30.11,Behind the Scenes: Music,Channel_3441,18,2024-11-26T06:00:00.000Z,official|trending|2024,82057,4744,647,1468,https://i.ytimg.com/vi/ztmlk81mY0S/default.jpg,False,False,False,Auto-generated sample description for Music video.
4EXtJDh4--F,24.20.05,Top 10 Music Moments This Week,Channel_882,18,2024-05-17T06:00:00.000Z,live|music|2024,1287311,40099,2070,12384,https://i.ytimg.com/vi/FHF34usU0hX/default.jpg,False,False,False,Auto-generated sample description for Music video.
rXGwNCzvw_l,24.14.08,Entertainment Compilation 2024,Channel_1325,6,2024-08-14T17:00:00.000Z,2024|official|review,15910,177,94,153,https://i.ytimg.com/vi/Gsd8yfLuR8F/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
2qmBd9URreW,24.07.11,Behind the Scenes: Entertainment,Channel_2431,6,2024-11-06T12:00:00.000Z,trending|official|music,4963,104,8,90,https://i.ytimg.com/vi/y2mqKcuShxF/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
oDBkrQdnm_c,24.04.09,Official Entertainment Highlights,Channel_4580,14,2024-09-01T05:00:00.000Z,trending|official|music,13273,294,90,201,https://i.ytimg.com/vi/Y3TtPVJzWTj/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
H2hg89drB2a,24.02.04,Reacting to Music Trends,Channel_4879,18,2024-03-30T15:00:00.000Z,live|review|trending,197421,8429,636,3603,https://i.ytimg.com/vi/vvwvxZZB2K5/default.jpg,False,False,False,Auto-generated sample description for Music video.
vKoUJ5bFzxV,24.07.11,Official Music Highlights,Channel_4435,18,2024-11-06T08:00:00.000Z,review|live|trending,175037,4705,1318,2605,https://i.ytimg.com/vi/6FNp4BAfKjM/default.jpg,False,True,False,Auto-generated sample description for Music video.
P9--tCb_QxD,24.04.02,Why This Sports Video Went Viral,Channel_4117,3,2024-01-31T01:00:00.000Z,official|live|review,541,42,0,5,https://i.ytimg.com/vi/xO7XsGN0inw/default.jpg,False,False,False,Auto-generated sample description for Sports video.
27jEcQNN3gl,24.22.08,Top 10 Sports Moments This Week,Channel_1886,3,2024-08-22T21:00:00.000Z,2024|music|review,13532,910,102,34,https://i.ytimg.com/vi/0WAKImlzo7H/default.jpg,False,False,False,Auto-generated sample description for Sports video.
YWV9I70MDZj,24.08.01,Why This Entertainment Video Went Viral,Channel_3878,6,2024-01-05T18:00:00.000Z,review|music|2024,41732,2849,235,563,https://i.ytimg.com/vi/e2zXrT4_u7g/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
X-lCYdHqw-q,24.05.04,Official Science & Technology Highlights,Channel_2510,10,2024-04-02T08:00:00.000Z,2024|live|vlog,40508,1233,212,536,https://i.ytimg.com/vi/PZXPIxuW5ZA/default.jpg,False,False,False,Auto-generated sample description for Science & Technology video.
YpfWyNDLbVE,24.28.02,Behind the Scenes: Entertainment,Channel_580,14,2024-02-26T17:00:00.000Z,live|2024|music,31527,1767,81,350,https://i.ytimg.com/vi/HMiCz-9YqRe/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
jQIDaYWJvW8,24.19.06,Top 10 Education Moments This Week,Channel_2774,1,2024-06-15T04:00:00.000Z,official|live|2024,5422,419,30,3,https://i.ytimg.com/vi/4GQep7ZUgtb/default.jpg,False,False,False,Auto-generated sample description for Education video.
qiN6KoZ2Wb-,24.31.07,Entertainment Compilation 2024,Channel_3176,6,2024-07-29T11:00:00.000Z,vlog|2024|live,18989,846,21,135,https://i.ytimg.com/vi/MUdMbzaqRX1/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
_UphtWeO0BQ,24.14.04,Reacting to Music Trends,Channel_2494,18,2024-04-13T21:00:00.000Z,trending|music|2024,72449,5157,371,724,https://i.ytimg.com/vi/iw-UmHOlVsy/default.jpg,False,False,False,Auto-generated sample description for Music video.
PSZzOQSFabb,24.31.07,Reacting to Sports Trends,Channel_1764,3,2024-07-30T06:00:00.000Z,official|2024|music,3748,53,23,30,https://i.ytimg.com/vi/uijxEpXzLrX/default.jpg,False,False,False,Auto-generated sample description for Sports video.
iehhkicb_H4,25.20.01,Official Howto & Style Highlights,Channel_3777,5,2025-01-16T03:00:00.000Z,music|vlog|review,6940,522,56,67,https://i.ytimg.com/vi/suQ-_LkPWfk/default.jpg,False,True,False,Auto-generated sample description for Howto & Style video.
fRhxJRva9ve,24.27.05,Official Sports Highlights,Channel_1826,3,2024-05-27T10:00:00.000Z,2024|official|trending,1086,21,6,14,https://i.ytimg.com/vi/L3eo8BbUUfM/default.jpg,False,False,False,Auto-generated sample description for Sports video.
wFGUZEyCyry,24.20.11,Reacting to Entertainment Trends,Channel_3512,14,2024-11-20T21:00:00.000Z,live|official|2024,79746,5164,176,614,https://i.ytimg.com/vi/sca4bZJBNea/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
KcKpkECyYws,24.12.12,Official Entertainment Highlights,Channel_1919,6,2024-12-09T19:00:00.000Z,vlog|review|live,59859,3952,297,293,https://i.ytimg.com/vi/W_8iXoPzGwY/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
vkwGvPWvFKd,24.25.01,Education Compilation 2024,Channel_2205,1,2024-01-23T10:00:00.000Z,official|live|trending,79502,4836,695,641,https://i.ytimg.com/vi/b5pUuYRpmyQ/default.jpg,False,False,False,Auto-generated sample description for Education video.
36kSfqWApLI,24.26.11,Official Music Highlights,Channel_3741,18,2024-11-26T10:00:00.000Z,trending|music|official,1146198,86045,7514,3685,https://i.ytimg.com/vi/DYwSzY8tyd1/default.jpg,False,False,False,Auto-generated sample description for Music video.
_O62J-PMLx5,24.31.10,Music Compilation 2024,Channel_4914,18,2024-10-28T07:00:00.000Z,2024|official|live,33499,2190,105,601,https://i.ytimg.com/vi/ODTJBsCs582/default.jpg,False,False,False,Auto-generated sample description for Music video.
z1zWwpqRm-E,24.04.02,Why This Music Video Went Viral,Channel_1765,7,2024-02-01T08:00:00.000Z,2024|live|music,20779,446,103,156,https://i.ytimg.com/vi/EqHrmgguOdF/default.jpg,False,False,False,Auto-generated sample description for Music video.
f8y2USx4S63,25.13.01,Reacting to Entertainment Trends,Channel_4891,14,2025-01-11T18:00:00.000Z,vlog|live|official,49162,981,239,670,https://i.ytimg.com/vi/1pkFIDTEe05/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
9FkFe1UIhak,24.29.02,News & Politics Compilation 2024,Channel_4147,12,2024-02-26T22:00:00.000Z,review|trending|official,2655,36,6,11,https://i.ytimg.com/vi/77y1_Xx7_Nu/default.jpg,False,False,False,Auto-generated sample description for News & Politics video.
NkOnAELk5xJ,24.24.05,Behind the Scenes: Entertainment,Channel_449,6,2024-05-22T11:00:00.000Z,vlog|music|official,1015,36,1,11,https://i.ytimg.com/vi/CDrRuA6oixh/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
EqOhOo5_HRG,25.09.01,Reacting to Music Trends,Channel_1937,18,2025-01-05T21:00:00.000Z,trending|live|review,5509,408,7,91,https://i.ytimg.com/vi/6ybt3fR3IlG/default.jpg,False,False,False,Auto-generated sample description for Music video.
-sy5uMLZbHM,24.08.06,Top 10 Gaming Moments This Week,Channel_1727,15,2024-06-08T06:00:00.000Z,vlog|live|trending,8417,157,71,85,https://i.ytimg.com/vi/e3nbE4CuoQm/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
JcklLmqH3PW,24.25.10,Why This Entertainment Video Went Viral,Channel_2199,6,2024-10-25T11:00:00.000Z,live|official|review,54985,2810,203,66,https://i.ytimg.com/vi/n4NRTyguZ2m/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
hdGtx0Yt2kw,24.12.02,Reacting to Howto & Style Trends,Channel_998,5,2024-02-09T04:00:00.000Z,vlog|2024|music,13145,657,59,190,https://i.ytimg.com/vi/RZahEP_gGk2/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
seHAhhJLkiv,24.25.08,Behind the Scenes: Music,Channel_1634,2,2024-08-23T07:00:00.000Z,trending|live|music,438706,22630,4245,3321,https://i.ytimg.com/vi/3WdYpnKltgj/default.jpg,False,False,False,Auto-generated sample description for Music video.
OGTNRWp9176,24.06.03,Why This Music Video Went Viral,Channel_1381,2,2024-03-06T03:00:00.000Z,vlog|music|live,46387,1198,420,232,https://i.ytimg.com/vi/Atbr6u7uQZ6/default.jpg,False,False,False,Auto-generated sample description for Music video.
c6kWN3Tcus_,24.16.08,Behind the Scenes: Music,Channel_2149,2,2024-08-14T13:00:00.000Z,live|official|music,34612,2470,236,606,https://i.ytimg.com/vi/ijHTEAgY5H3/default.jpg,False,False,False,Auto-generated sample description for Music video.
7j6BHREkNqZ,24.06.12,Top 10 Pets & Animals Moments This Week,Channel_1899,20,2024-12-06T09:00:00.000Z,2024|review|live,2547,98,15,39,https://i.ytimg.com/vi/JO1U_4SzZGi/default.jpg,False,False,False,Auto-generated sample description for Pets & Animals video.
38VpWeNhOvP,24.28.04,Reacting to Music Trends,Channel_1462,7,2024-04-28T15:00:00.000Z,official|2024|review,12803,243,51,104,https://i.ytimg.com/vi/zyFZueniAtj/default.jpg,False,False,False,Auto-generated sample description for Music video.
YUPC4fqwa3Z,24.29.01,Behind the Scenes: Music,Channel_1006,18,2024-01-25T05:00:00.000Z,music|live|2024,88633,4141,80,1240,https://i.ytimg.com/vi/c2fBW2H98Bo/default.jpg,False,False,False,Auto-generated sample description for Music video.
fvs6SGS15JE,24.01.08,Official Music Highlights,Channel_3877,2,2024-07-29T03:00:00.000Z,official|music|vlog,18639,419,85,206,https://i.ytimg.com/vi/K9a_oQzQiB2/default.jpg,False,False,False,Auto-generated sample description for Music video.
bECE_iskOGZ,24.15.03,Top 10 Music Moments This Week,Channel_4856,7,2024-03-14T08:00:00.000Z,vlog|official|trending,12483,127,25,148,https://i.ytimg.com/vi/euFtfIyXwcV/default.jpg,False,False,False,Auto-generated sample description for Music video.
QmlA_2iTYtj,24.06.11,Reacting to Music Trends,Channel_2212,18,2024-11-05T01:00:00.000Z,vlog|2024|music,54834,2411,176,813,https://i.ytimg.com/vi/VVRb9_truHe/default.jpg,False,False,False,Auto-generated sample description for Music video.
WMXi6qkw7UN,24.07.02,Behind the Scenes: Travel & Events,Channel_4112,8,2024-02-04T04:00:00.000Z,2024|review|official,27569,1234,20,443,https://i.ytimg.com/vi/v2MsvqrLkYR/default.jpg,False,False,False,Auto-generated sample description for Travel & Events video.
4Ypm6CMrH4z,25.11.01,Behind the Scenes: Entertainment,Channel_2633,14,2025-01-08T02:00:00.000Z,trending|review|official,139485,3957,559,2184,https://i.ytimg.com/vi/DEMPJ28aYwZ/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ADEm-m3x21K,25.11.01,Behind the Scenes: Music,Channel_727,7,2025-01-08T10:00:00.000Z,review|official|music,409826,10446,1372,6951,https://i.ytimg.com/vi/GTTCmQlG_F5/default.jpg,False,False,False,Auto-generated sample description for Music video.
zAxhv_S7TSO,24.20.02,Sports Compilation 2024,Channel_1535,3,2024-02-17T06:00:00.000Z,trending|review|live,13425,372,32,163,https://i.ytimg.com/vi/7QCRTGLKVL4/default.jpg,False,False,False,Auto-generated sample description for Sports video.
lGuclVXOuFj,24.18.10,Entertainment Compilation 2024,Channel_1743,6,2024-10-15T04:00:00.000Z,vlog|review|live,124010,9391,1045,1003,https://i.ytimg.com/vi/57ZHljXTK8T/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
MirIf74faku,24.16.02,Official Music Highlights,Channel_1073,18,2024-02-16T12:00:00.000Z,trending|music|vlog,22570,682,175,205,https://i.ytimg.com/vi/1rjV2QYoU_G/default.jpg,False,False,False,Auto-generated sample description for Music video.
Tn18xCm7kai,24.07.10,Why This Education Video Went Viral,Channel_3706,4,2024-10-07T18:00:00.000Z,2024|live|review,3340,261,17,52,https://i.ytimg.com/vi/ALA1QBxYg4d/default.jpg,False,False,False,Auto-generated sample description for Education video.
_JpRKjcOa6p,25.28.01,Why This Entertainment Video Went Viral,Channel_3032,14,2025-01-27T15:00:00.000Z,2024|official|vlog,2618,173,8,31,https://i.ytimg.com/vi/eqer8Urux9n/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
DuzMyeCICEp,24.08.01,Official Howto & Style Highlights,Channel_3947,9,2024-01-06T00:00:00.000Z,official|2024|vlog,3631,229,18,72,https://i.ytimg.com/vi/WbR_O5bsp5I/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
J0Z-LzFGxN-,24.09.08,Reacting to Music Trends,Channel_1159,18,2024-08-09T22:00:00.000Z,official|2024|live,40841,3112,345,489,https://i.ytimg.com/vi/_jKrUJwziiA/default.jpg,False,False,False,Auto-generated sample description for Music video.
VBPNPXasCp1,24.21.09,Behind the Scenes: People & Blogs,Channel_1125,13,2024-09-21T22:00:00.000Z,vlog|music|live,4826,265,18,67,https://i.ytimg.com/vi/8iOfWNh4RQx/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
vKIOD6HpnWq,24.08.05,Behind the Scenes: Entertainment,Channel_1681,6,2024-05-07T02:00:00.000Z,live|review|vlog,118023,2042,250,775,https://i.ytimg.com/vi/YzZiQXyIm9J/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
5yMexqPg7PO,24.13.02,Behind the Scenes: Entertainment,Channel_2318,14,2024-02-09T15:00:00.000Z,music|live|vlog,7927,524,6,80,https://i.ytimg.com/vi/vy4VAHbaZT_/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
bI_SzqCAN0z,24.18.05,Music Compilation 2024,Channel_1818,7,2024-05-16T20:00:00.000Z,2024|trending|vlog,26938,1774,48,400,https://i.ytimg.com/vi/Sp5hLQ7p86U/default.jpg,False,False,False,Auto-generated sample description for Music video.
7T4dQrVhQhR,24.14.01,Top 10 Entertainment Moments This Week,Channel_3343,14,2024-01-14T08:00:00.000Z,official|music|trending,380440,6131,1048,7446,https://i.ytimg.com/vi/vrhE4Zaom7F/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
IAP5BNULPLx,24.12.07,Behind the Scenes: Sports,Channel_4365,3,2024-07-10T19:00:00.000Z,official|live|vlog,123521,7406,893,2413,https://i.ytimg.com/vi/MY08cZQYGMJ/default.jpg,False,False,False,Auto-generated sample description for Sports video.
Gg2YmHZdKu-,25.23.01,Why This Music Video Went Viral,Channel_4817,18,2025-01-23T13:00:00.000Z,trending|official|live,367089,11351,1377,5716,https://i.ytimg.com/vi/i16XtK1GeoX/default.jpg,False,False,False,Auto-generated sample description for Music video.
nGOmLjgNo2l,24.15.01,Music Compilation 2024,Channel_4351,18,2024-01-14T10:00:00.000Z,2024|review|official,88196,5775,595,102,https://i.ytimg.com/vi/nGIhfM_8ILp/default.jpg,False,False,False,Auto-generated sample description for Music video.
3CIlx2cRZWF,24.03.05,Behind the Scenes: Entertainment,Channel_4507,6,2024-05-03T07:00:00.000Z,review|trending|2024,11001,235,89,173,https://i.ytimg.com/vi/7nG2CcTAh6n/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
oOWcyFlB2jO,24.09.08,Why This Music Video Went Viral,Channel_3092,7,2024-08-07T03:00:00.000Z,vlog|trending|2024,83468,3842,188,545,https://i.ytimg.com/vi/UDWKR716FU1/default.jpg,False,False,False,Auto-generated sample description for Music video.
mX3YD60mcbF,24.03.06,Official Entertainment Highlights,Channel_1479,6,2024-06-03T04:00:00.000Z,trending|official|live,33616,2538,141,62,https://i.ytimg.com/vi/YIhBEnlMfLu/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
flysU-0h2VH,24.21.06,Why This Entertainment Video Went Viral,Channel_850,6,2024-06-19T06:00:00.000Z,live|trending|2024,137920,5339,864,1149,https://i.ytimg.com/vi/uaxIgpkRg8T/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
N8sfin4BCWz,24.13.10,Why This Music Video Went Viral,Channel_3314,2,2024-10-12T01:00:00.000Z,trending|vlog|2024,33784,2675,294,89,https://i.ytimg.com/vi/EkV1yVIguRD/default.jpg,False,False,False,Auto-generated sample description for Music video.
wTXM0VQ0Tcf,24.11.09,Music Compilation 2024,Channel_4865,7,2024-09-09T13:00:00.000Z,trending|music|2024,6020,471,28,109,https://i.ytimg.com/vi/yjDZR2llMWc/default.jpg,False,False,False,Auto-generated sample description for Music video.
CeRyMwy2O9Z,24.10.10,Behind the Scenes: Sports,Channel_418,3,2024-10-07T16:00:00.000Z,music|2024|official,29201,1425,95,141,https://i.ytimg.com/vi/AlKMph69rDN/default.jpg,False,False,False,Auto-generated sample description for Sports video.
ZKtkcVOdYwS,24.06.03,Why This Entertainment Video Went Viral,Channel_616,6,2024-03-05T19:00:00.000Z,review|trending|2024,28169,822,60,490,https://i.ytimg.com/vi/YUn2gPJBG3B/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
