country_code,category_title,total_views,total_likes,video_rows
CA,Autos & Vehicles,1256611,49277,58
CA,Comedy,9405229,436228,258
CA,Education,2097673,114970,56
CA,Entertainment,87720652,3908682,712
CA,Film & Animation,5215046,226181,201
CA,Gaming,6719126,293924,203
CA,Howto & Style,925850,44955,65
CA,Music,206485371,9312897,1586
CA,Nonprofits & Activism,1225054,61288,43
CA,People & Blogs,6739084,288114,259
CA,Science & Technology,2033608,79730,119
CA,Sports,13999080,576786,406
CA,Travel & Events,1081504,51390,34
DE,Comedy,8610014,384188,234
DE,Education,1060851,53307,55
DE,Entertainment,161785610,7188068,1326
DE,Film & Animation,5860903,285544,191
DE,Gaming,14646655,672267,399
DE,Howto & Style,3224857,140692,111
DE,Music,105752372,4787433,738
DE,News & Politics,1768345,78534,68
DE,Nonprofits & Activism,799306,48820,35
DE,People & Blogs,6521520,283882,227
DE,Science & Technology,2202355,91673,127
DE,Sports,11971383,545632,402
DE,Travel & Events,5877839,207145,87
FR,Autos & Vehicles,592735,27698,28
FR,Comedy,14046027,680943,344
FR,Education,2226814,109473,105
FR,Entertainment,134031252,5868983,1016
FR,Film & Animation,3707044,163799,199
FR,Gaming,3644841,184537,147
FR,Howto & Style,650268,29342,43
FR,Music,197284209,8824991,1673
FR,News & Politics,2513456,124239,53
FR,Nonprofits & Activism,540131,27975,23
FR,Pets & Animals,911039,38068,51
FR,Science & Technology,4363728,224151,142
FR,Sports,5812269,233448,151
FR,Travel & Events,614922,21821,25
GB,Autos & Vehicles,2003922,75627,89
GB,Comedy,8033996,347190,197
GB,Education,2290917,97576,99
GB,Entertainment,58211462,2671924,606
GB,Film & Animation,3731100,168950,148
GB,Gaming,5249994,235387,178
GB,Howto & Style,3581457,180895,149
GB,Music,177925258,7921680,1256
GB,News & Politics,3629455,192849,130
GB,Nonprofits & Activism,668145,28724,37
GB,People & Blogs,5701979,240707,223
GB,Pets & Animals,1799755,72793,69
GB,Science & Technology,3639004,165758,161
GB,Sports,13660331,601506,370
GB,Travel & Events,1755443,83296,88
IN,Autos & Vehicles,1136090,41127,42
IN,Comedy,19936592,884836,538
IN,Education,931935,41528,63
IN,Entertainment,85571909,3751300,678
IN,Film & Animation,3514193,175160,124
IN,Gaming,13844726,642294,359
IN,Music,212256165,9730009,1521
IN,Nonprofits & Activism,694549,34938,28
IN,People & Blogs,3553621,151264,123
IN,Pets & Animals,863605,34156,29
IN,Science & Technology,1113262,48982,61
IN,Travel & Events,1801392,90367,74
JP,Autos & Vehicles,1603699,75149,70
JP,Education,2024061,94830,93
JP,Film & Animation,2829238,141375,148
JP,Gaming,5383787,268760,157
JP,Howto & Style,850841,37395,53
JP,Music,176705909,8178707,1171
JP,News & Politics,3338125,161421,125
JP,Nonprofits & Activism,414950,17868,30
JP,Pets & Animals,1539381,80986,81
JP,Science & Technology,731078,26722,41
JP,Travel & Events,500535,23675,31
KR,Autos & Vehicles,247768,10311,17
KR,Comedy,16578942,775697,406
KR,Education,939980,38937,31
KR,Entertainment,120455225,5269891,1054
KR,Film & Animation,4264064,205252,151
KR,Gaming,16429895,738480,441
KR,Howto & Style,3483752,172744,145
KR,Music,63372555,2962896,579
KR,Nonprofits & Activism,769322,36555,40
KR,People & Blogs,8890573,414004,299
KR,Pets & Animals,603388,24816,24
KR,Science & Technology,5039411,305641,154
KR,Travel & Events,1336900,59224,59
MX,Autos & Vehicles,994025,56224,66
MX,Education,1014016,44516,56
MX,Entertainment,272825074,12367184,2491
MX,Film & Animation,6957239,325185,241
MX,Gaming,15333267,677627,478
MX,Howto & Style,2727957,110789,77
MX,News & Politics,2000889,108016,86
MX,People & Blogs,7675455,315961,297
MX,Science & Technology,1777396,71949,72
MX,Travel & Events,2687584,121285,96
RU,Comedy,30567303,1333813,751
RU,Education,2663864,126062,119
RU,Entertainment,161112634,7496494,1405
RU,Film & Animation,2105584,111664,93
RU,Gaming,14287662,596269,373
RU,Music,97319631,4520003,709
RU,News & Politics,4395867,165850,162
RU,Nonprofits & Activism,1750875,97543,25
RU,People & Blogs,2382868,117688,118
RU,Pets & Animals,1536195,73214,75
RU,Science & Technology,3307360,144002,109
RU,Travel & Events,1436554,67392,61
US,Autos & Vehicles,602341,24236,38
US,Education,1469862,63146,87
US,Entertainment,143328650,6491104,1163
US,Gaming,5247153,228165,164
US,Howto & Style,1608142,70979,110
US,Music,252766344,11100506,1878
US,News & Politics,1737669,71698,62
US,People & Blogs,3399621,169851,107
US,Pets & Animals,1006915,49895,49
US,Science & Technology,2200587,98588,93
US,Sports,5446141,255783,183
US,Travel & Events,1238835,60256,66
